iter	Passed	Remaining
0	137	22245
1	154	12444
2	174	9280
3	197	7838
4	217	6858
5	233	6117
6	249	5550
7	265	5153
8	284	4866
9	306	4683
10	324	4484
11	349	4402
12	377	4359
13	399	4250
14	423	4182
15	444	4086
16	463	3984
17	482	3886
18	498	3775
19	514	3676
20	532	3598
21	549	3521
22	564	3437
23	581	3369
24	598	3303
25	613	3232
26	631	3182
27	651	3140
28	668	3088
29	685	3041
30	704	2999
31	722	2957
32	739	2915
33	757	2873
34	774	2833
35	792	2794
36	806	2747
37	823	2707
38	838	2666
39	859	2643
40	879	2617
41	898	2588
42	915	2556
43	938	2538
44	956	2507
45	973	2476
46	990	2445
47	1008	2416
48	1025	2386
49	1042	2355
50	1059	2327
51	1082	2309
52	1098	2280
53	1117	2254
54	1135	2230
55	1154	2206
56	1171	2179
57	1191	2157
58	1208	2130
59	1225	2103
60	1241	2076
61	1259	2051
62	1273	2021
63	1291	1998
64	1308	1972
65	1324	1946
66	1341	1921
67	1358	1898
68	1374	1873
69	1392	1849
70	1409	1826
71	1426	1803
72	1443	1779
73	1462	1759
74	1478	1734
75	1496	1713
76	1514	1691
77	1531	1668
78	1547	1645
79	1565	1624
80	1582	1602
81	1600	1580
82	1617	1559
83	1637	1539
84	1656	1520
85	1674	1499
86	1695	1480
87	1716	1463
88	1734	1442
89	1751	1420
90	1767	1398
91	1785	1377
92	1803	1357
93	1820	1336
94	1837	1315
95	1854	1294
96	1872	1274
97	1890	1254
98	1906	1232
99	1923	1211
100	1940	1191
101	1958	1171
102	1976	1151
103	1994	1131
104	2015	1113
105	2033	1093
106	2049	1072
107	2066	1052
108	2081	1031
109	2099	1011
110	2113	990
111	2131	970
112	2145	949
113	2161	928
114	2177	908
115	2196	889
116	2214	870
117	2230	850
118	2247	831
119	2267	812
120	2286	793
121	2305	774
122	2324	755
123	2342	736
124	2358	716
125	2375	697
126	2392	678
127	2410	659
128	2427	639
129	2444	620
130	2460	601
131	2477	581
132	2495	562
133	2512	543
134	2531	525
135	2555	507
136	2575	488
137	2593	469
138	2610	450
139	2628	431
140	2645	412
141	2663	393
142	2683	375
143	2702	356
144	2720	337
145	2735	318
146	2751	299
147	2770	280
148	2786	261
149	2803	242
150	2819	224
151	2836	205
152	2852	186
153	2873	167
154	2890	149
155	2910	130
156	2928	111
157	2946	93
158	2965	74
159	2984	55
160	3001	37
161	3018	18
162	3035	0
