iter	F1	Logloss
0	0.763915547	0.5551094933
1	0.7715930902	0.4879077331
2	0.7707129094	0.4452079852
3	0.7730769231	0.4115346939
4	0.7844660194	0.3888162929
5	0.7844660194	0.3791026632
6	0.7852998066	0.3680695303
7	0.7868217054	0.3613552209
8	0.7868217054	0.3536477104
9	0.7944664032	0.3516124269
10	0.8183632735	0.3430882018
11	0.8198019802	0.3381257851
12	0.8190854871	0.3337358516
13	0.8228346457	0.3324072111
14	0.8297455969	0.3294189573
15	0.8443579767	0.3205973768
16	0.8571428571	0.3163593714
17	0.8598848369	0.3147166048
18	0.8582524272	0.3127390096
19	0.8571428571	0.3108612425
20	0.8532818533	0.30860786
21	0.8576923077	0.3069190021
22	0.8615384615	0.3060791871
23	0.8615384615	0.3038644376
24	0.8598848369	0.3020691711
25	0.8593155894	0.300363927
26	0.8571428571	0.2995864717
27	0.860952381	0.2973170764
28	0.8625954198	0.2962337196
29	0.8631178707	0.2940822155
30	0.8647619048	0.2919478965
31	0.8690702087	0.2895689031
32	0.8690702087	0.2866112836
33	0.8728652751	0.2843291233
34	0.8690702087	0.2827201155
35	0.8680688337	0.2801073165
36	0.8702290076	0.2790794259
37	0.8702290076	0.2756643078
38	0.8702290076	0.2727651725
39	0.8740458015	0.2695530367
40	0.8761904762	0.2680136155
41	0.8761904762	0.2676436924
42	0.8761904762	0.2668476918
43	0.8783269962	0.2633016763
44	0.8783269962	0.2583965275
45	0.8761904762	0.2580854886
46	0.8783269962	0.2566774011
47	0.8761904762	0.2560366709
48	0.8761904762	0.2544463427
49	0.8783269962	0.2527366175
50	0.8783269962	0.2514010276
51	0.8761904762	0.2502137826
52	0.8761904762	0.2494338239
53	0.8816793893	0.2488935191
54	0.8816793893	0.2487837633
55	0.8816793893	0.2484154769
56	0.8816793893	0.2448389078
57	0.8833652008	0.2396836252
58	0.879541109	0.2381491742
59	0.8816793893	0.2359583148
60	0.8838095238	0.2350932488
61	0.8821292776	0.2341669347
62	0.8854961832	0.2332080751
63	0.8876190476	0.2322751005
64	0.8939393939	0.2306271156
65	0.897338403	0.2274572051
66	0.897338403	0.2264839801
67	0.897338403	0.2239301033
68	0.89943074	0.221637821
69	0.9015151515	0.2196252425
70	0.9032258065	0.2185391652
71	0.9032258065	0.2170653457
72	0.9049429658	0.2130164072
73	0.9070208729	0.2106959578
74	0.9104761905	0.2069721682
75	0.9104761905	0.2063410121
76	0.9125475285	0.2047508051
77	0.9125475285	0.2041973147
78	0.9125475285	0.2029747658
79	0.9160305344	0.2002466023
80	0.9142857143	0.1992833965
81	0.9142857143	0.1989564236
82	0.9142857143	0.1982154023
83	0.9142857143	0.1969926007
84	0.9163498099	0.1961334813
85	0.9142857143	0.1957266979
86	0.9184060721	0.1929855503
87	0.9201520913	0.1896627774
88	0.928030303	0.1882665251
89	0.9283018868	0.1871977195
90	0.9283018868	0.1864508102
91	0.9283018868	0.1856277109
92	0.9318181818	0.1838487307
93	0.9283018868	0.1827813048
94	0.9335863378	0.1816283365
95	0.9335863378	0.179687242
96	0.9335863378	0.1791861518
97	0.9318181818	0.1787612628
98	0.9318181818	0.1779919792
99	0.9335863378	0.1762909055
100	0.9356060606	0.1736065426
101	0.9376181474	0.1719203397
102	0.9396226415	0.1707707805
103	0.9396226415	0.1680530628
104	0.9396226415	0.1668396709
105	0.9396226415	0.1663788565
106	0.9396226415	0.1656565152
107	0.9396226415	0.1655291558
108	0.9396226415	0.1649616293
109	0.9396226415	0.1645179126
110	0.9396226415	0.1643392711
111	0.9396226415	0.1634771878
112	0.9416195857	0.1619230169
113	0.9416195857	0.1617963667
114	0.9416195857	0.1608775596
115	0.9436090226	0.1602109301
116	0.9436090226	0.1592241532
117	0.9436090226	0.1588684666
118	0.9436090226	0.1549796732
119	0.9475655431	0.1532084587
120	0.9475655431	0.152966912
121	0.9495327103	0.1523885561
122	0.9495327103	0.1511738513
123	0.9495327103	0.1508851357
124	0.9514925373	0.1500089921
125	0.9514925373	0.1496690832
126	0.953271028	0.1479996337
127	0.9513108614	0.1464380264
128	0.9513108614	0.1462095841
129	0.9493433396	0.1459936294
130	0.953271028	0.1440492175
131	0.953271028	0.1429429509
132	0.953271028	0.1419692132
133	0.9513108614	0.1405275054
134	0.9513108614	0.1399782366
135	0.9513108614	0.1393071254
136	0.9513108614	0.1387265788
137	0.9513108614	0.1383295716
138	0.9513108614	0.1375070276
139	0.9513108614	0.1370050721
140	0.9513108614	0.1363943437
141	0.9530956848	0.1358951998
142	0.9530956848	0.1354314902
143	0.9530956848	0.1344928526
144	0.9530956848	0.1339133552
145	0.9530956848	0.1334735226
146	0.9530956848	0.1324815255
147	0.9530956848	0.1322542362
148	0.9530956848	0.1312329255
149	0.9550561798	0.1284689274
150	0.95684803	0.1273782789
151	0.9588014981	0.1265309407
152	0.9588014981	0.1255523426
153	0.9588014981	0.125001126
154	0.95684803	0.1232940815
155	0.9588014981	0.1228574148
156	0.95684803	0.1221181035
157	0.95684803	0.1212220927
158	0.95684803	0.1205221622
159	0.9588014981	0.1174615676
160	0.9588014981	0.1169922368
161	0.9607476636	0.114997508
162	0.9607476636	0.1142641266
