iter	F1	Logloss
0	0.7321428571	0.6113211811
1	0.7639751553	0.5422813163
2	0.7692307692	0.4960319789
3	0.7692307692	0.4664455416
4	0.7685185185	0.4430726312
5	0.7704160247	0.4266646801
6	0.7744945568	0.415534372
7	0.7757009346	0.4040793728
8	0.7744945568	0.3962409228
9	0.7689873418	0.3927648823
10	0.7670364501	0.3883502482
11	0.7904	0.3820023609
12	0.7948717949	0.3777726383
13	0.7948717949	0.373803535
14	0.7987220447	0.3700999827
15	0.7987220447	0.3660857658
16	0.7968	0.3645097757
17	0.7974481659	0.3630834793
18	0.8112324493	0.3599341854
19	0.8112324493	0.3578099931
20	0.813771518	0.3555329171
21	0.815625	0.3530438501
22	0.8193146417	0.3521117091
23	0.8193146417	0.3481249038
24	0.8193146417	0.3468927776
25	0.8211508554	0.3463983348
26	0.8229813665	0.3453926725
27	0.821875	0.3436670792
28	0.8237129485	0.3423572578
29	0.8253477589	0.3409144861
30	0.8271604938	0.339736549
31	0.8289676425	0.338484239
32	0.8315301391	0.3365993989
33	0.8346213292	0.3351773489
34	0.8346213292	0.3336431121
35	0.8372093023	0.331990764
36	0.8390092879	0.3312796612
37	0.8390092879	0.3298365346
38	0.8403100775	0.3283366904
39	0.8395061728	0.3275183462
40	0.8408037094	0.3264517386
41	0.8460342146	0.323598219
42	0.8460342146	0.321828613
43	0.8491446345	0.3204362472
44	0.8504672897	0.3183319561
45	0.8504672897	0.3175591896
46	0.8491446345	0.314758127
47	0.8491446345	0.3134649139
48	0.8535825545	0.309973615
49	0.8535825545	0.3082908483
50	0.8535825545	0.3074200956
51	0.8522550544	0.3059855179
52	0.8593508501	0.3041504651
53	0.8558139535	0.3032387132
54	0.8575851393	0.3021126891
55	0.8575851393	0.3002885214
56	0.8584615385	0.298419325
57	0.8597842835	0.297133603
58	0.8619631902	0.2960707909
59	0.8646153846	0.2956519539
60	0.866359447	0.2935914704
61	0.8672839506	0.2923647717
62	0.8672839506	0.2914305691
63	0.8686244204	0.2911757471
64	0.8694316436	0.2889540225
65	0.8694316436	0.2882881477
66	0.8694316436	0.2882478871
67	0.8694316436	0.2874997768
68	0.8690292758	0.2871971525
69	0.8734567901	0.2862588498
70	0.8761609907	0.2847347659
71	0.8734567901	0.2843424736
72	0.8778979907	0.2820441766
73	0.8761609907	0.2812569311
74	0.8786482335	0.2802490038
75	0.8786482335	0.2789603667
76	0.8786482335	0.2749639617
77	0.8786482335	0.2738987327
78	0.8765432099	0.2718201804
79	0.8827160494	0.2711397359
80	0.8827160494	0.2703979217
81	0.8813559322	0.2697667974
82	0.8827160494	0.2693642608
83	0.8813559322	0.2681611638
84	0.8809891808	0.2672582374
85	0.8792569659	0.2668159358
86	0.8761609907	0.2658254245
87	0.8761609907	0.2654272888
88	0.8761609907	0.2641803526
89	0.8761609907	0.2637477014
90	0.8775193798	0.2613549253
91	0.8792569659	0.2601047839
92	0.880620155	0.25828981
93	0.8775193798	0.2578125113
94	0.8775193798	0.2570454188
95	0.8775193798	0.2558627989
96	0.8775193798	0.2555351301
97	0.8778979907	0.2536933207
98	0.8778979907	0.25288982
99	0.8778979907	0.2516087818
100	0.8813559322	0.2500115691
101	0.8813559322	0.2490800807
102	0.8830769231	0.2487285612
103	0.8854489164	0.2462982635
104	0.8840803709	0.2458158514
105	0.8837209302	0.2442492048
106	0.8868217054	0.2437441417
107	0.8881987578	0.2423520339
108	0.8899224806	0.2420834385
109	0.8916408669	0.2412905963
110	0.8933539413	0.2404894785
111	0.8933539413	0.2400880272
112	0.8902627512	0.2389988301
113	0.8919753086	0.2382542052
114	0.8940092166	0.2370812217
115	0.8953846154	0.2361479396
116	0.8940092166	0.2351150472
117	0.8957055215	0.2346596538
118	0.8970814132	0.2330173783
119	0.8970814132	0.2310835984
120	0.8970814132	0.2306151713
121	0.9001536098	0.2297598629
122	0.9018404908	0.2287420833
123	0.9032258065	0.2276316505
124	0.9049079755	0.2269020294
125	0.9035222052	0.2251472192
126	0.9035222052	0.2239718313
127	0.9062980031	0.2221203637
128	0.9113149847	0.2210108065
129	0.9099236641	0.2207561792
130	0.9113149847	0.2202850817
131	0.9096477795	0.2195698787
132	0.9113149847	0.2188478526
133	0.9129770992	0.2175329726
134	0.9129770992	0.2173129076
135	0.9113149847	0.2167952985
136	0.9113149847	0.2164620837
137	0.9113149847	0.2159081706
138	0.9113149847	0.2155223831
139	0.9115853659	0.2139268811
140	0.9099236641	0.2124267711
141	0.9115853659	0.2114670628
142	0.9132420091	0.2109754639
143	0.9132420091	0.2106790896
144	0.9115853659	0.2099499598
145	0.914893617	0.2092119102
146	0.9162861492	0.2088185654
147	0.9115853659	0.2082640042
148	0.9132420091	0.2079482624
149	0.914893617	0.2076615921
150	0.9115853659	0.2069026459
151	0.9115853659	0.2055681946
152	0.9115853659	0.2052902568
153	0.9113149847	0.2040559067
154	0.9113149847	0.2035785082
155	0.9113149847	0.2031372344
156	0.9129770992	0.2028879544
157	0.9162861492	0.2017474011
158	0.9146341463	0.2012389364
159	0.9146341463	0.2009050068
160	0.9146341463	0.2006716996
161	0.9160305344	0.2001144781
162	0.9160305344	0.1997558566
