iter	Passed	Remaining
0	49	8043
1	109	8848
2	135	7214
3	152	6067
4	166	5253
5	183	4791
6	200	4472
7	215	4179
8	229	3935
9	245	3754
10	260	3595
11	277	3488
12	293	3390
13	308	3283
14	323	3189
15	340	3126
16	354	3041
17	368	2969
18	384	2912
19	398	2851
20	412	2792
21	427	2739
22	443	2697
23	458	2653
24	472	2606
25	488	2573
26	503	2538
27	520	2511
28	541	2503
29	566	2511
30	603	2568
31	621	2543
32	640	2524
33	659	2503
34	676	2472
35	694	2450
36	713	2431
37	730	2401
38	745	2370
39	759	2335
40	776	2309
41	794	2289
42	813	2270
43	831	2248
44	846	2218
45	859	2186
46	876	2162
47	889	2132
48	906	2108
49	922	2084
50	936	2057
51	953	2035
52	970	2013
53	993	2005
54	1013	1990
55	1029	1967
56	1044	1941
57	1063	1924
58	1078	1901
59	1092	1875
60	1106	1850
61	1122	1828
62	1135	1803
63	1150	1780
64	1167	1759
65	1186	1743
66	1200	1720
67	1215	1697
68	1230	1676
69	1244	1653
70	1260	1633
71	1274	1610
72	1289	1589
73	1302	1566
74	1318	1547
75	1334	1527
76	1350	1507
77	1365	1487
78	1379	1466
79	1393	1445
80	1409	1426
81	1423	1406
82	1440	1387
83	1454	1367
84	1469	1348
85	1484	1329
86	1499	1309
87	1514	1291
88	1537	1278
89	1554	1261
90	1569	1241
91	1583	1222
92	1598	1203
93	1616	1186
94	1631	1167
95	1645	1148
96	1661	1130
97	1676	1112
98	1691	1093
99	1707	1075
100	1722	1057
101	1738	1039
102	1757	1024
103	1772	1005
104	1788	988
105	1803	969
106	1824	954
107	1840	937
108	1858	920
109	1878	904
110	1892	886
111	1906	868
112	1922	850
113	1937	832
114	1951	814
115	1967	797
116	1982	779
117	1996	761
118	2012	743
119	2027	726
120	2040	708
121	2056	690
122	2071	673
123	2085	656
124	2100	638
125	2114	620
126	2128	603
127	2144	586
128	2159	569
129	2175	552
130	2191	535
131	2205	517
132	2219	500
133	2233	483
134	2246	465
135	2260	448
136	2277	432
137	2295	415
138	2310	398
139	2326	382
140	2342	365
141	2358	348
142	2374	332
143	2390	315
144	2406	298
145	2422	282
146	2437	265
147	2457	249
148	2474	232
149	2490	215
150	2508	199
151	2528	182
152	2548	166
153	2569	150
154	2591	133
155	2610	117
156	2628	100
157	2642	83
158	2657	66
159	2671	50
160	2686	33
161	2701	16
162	2716	0
