iter	Passed	Remaining
0	11	1401
1	19	1168
2	35	1376
3	41	1205
4	54	1256
5	70	1343
6	75	1224
7	87	1229
8	103	1278
9	118	1304
10	134	1331
11	150	1351
12	169	1394
13	177	1343
14	191	1341
15	203	1323
16	220	1338
17	236	1341
18	252	1343
19	267	1339
20	283	1334
21	291	1299
22	299	1263
23	304	1219
24	309	1177
25	325	1175
26	329	1134
27	344	1132
28	360	1130
29	376	1130
30	391	1123
31	406	1118
32	416	1096
33	438	1108
34	447	1085
35	453	1057
36	468	1051
37	484	1045
38	499	1038
39	515	1030
40	530	1021
41	545	1013
42	554	993
43	570	984
44	585	976
45	602	969
46	621	965
47	637	956
48	652	945
49	668	935
50	684	925
51	700	915
52	715	904
53	731	894
54	748	884
55	763	872
56	779	861
57	795	850
58	811	838
59	827	827
60	848	821
61	861	806
62	874	791
63	890	779
64	906	767
65	923	755
66	938	742
67	954	730
68	971	717
69	986	704
70	1002	691
71	1017	678
72	1032	664
73	1049	652
74	1062	637
75	1081	626
76	1097	612
77	1112	599
78	1128	585
79	1143	571
80	1159	558
81	1174	544
82	1190	530
83	1205	516
84	1220	502
85	1237	489
86	1252	475
87	1265	460
88	1281	446
89	1298	432
90	1314	418
91	1329	404
92	1345	390
93	1359	376
94	1375	361
95	1391	347
96	1407	333
97	1422	319
98	1437	305
99	1456	291
100	1475	277
101	1493	263
102	1510	249
103	1528	235
104	1545	220
105	1563	206
106	1578	191
107	1594	177
108	1610	162
109	1626	147
110	1641	133
111	1656	118
112	1672	103
113	1688	88
114	1701	73
115	1717	59
116	1732	44
117	1748	29
118	1765	14
119	1781	0
