iter	F1	Logloss
0	0.6280193237	0.6006569901
1	0.6359447005	0.5903958608
2	0.6576576577	0.5454622938
3	0.6494117647	0.5429753307
4	0.7069943289	0.5198095452
5	0.6558139535	0.5065570228
6	0.6588785047	0.5058368154
7	0.7166979362	0.4858975435
8	0.720754717	0.4659784453
9	0.7265774379	0.4657179523
10	0.6635730858	0.463386
11	0.7436399217	0.4521287946
12	0.7436399217	0.452024069
13	0.7053571429	0.4475894771
14	0.7011235955	0.4373740082
15	0.7053571429	0.4306473824
16	0.7139689579	0.4287523076
17	0.7088607595	0.4254682977
18	0.7461538462	0.4218099976
19	0.7134020619	0.419955713
20	0.735966736	0.4029863986
21	0.7326315789	0.4029658212
22	0.7326315789	0.4029523139
23	0.7276595745	0.4022474314
24	0.7296137339	0.4015513957
25	0.7364016736	0.3975669355
26	0.7410526316	0.3965745745
27	0.7415254237	0.3962444949
28	0.7421383648	0.3915877333
29	0.7426160338	0.390470797
30	0.7341772152	0.3883341884
31	0.7464503043	0.3872161478
32	0.7379454927	0.3869552213
33	0.7510373444	0.3847294991
34	0.7642276423	0.3818705199
35	0.7648261759	0.3794262048
36	0.7740667976	0.376536797
37	0.7725490196	0.375987817
38	0.7805825243	0.3715898522
39	0.7805825243	0.3696306944
40	0.7829457364	0.3686816378
41	0.7920792079	0.3653842199
42	0.7920792079	0.3647745607
43	0.7944664032	0.3621062572
44	0.7975951904	0.3558149389
45	0.7991967871	0.353173563
46	0.7951807229	0.3502218129
47	0.7951807229	0.3489056739
48	0.796	0.3474518658
49	0.7967806841	0.3438271537
50	0.804	0.3407167524
51	0.8111332008	0.337779899
52	0.8047808765	0.3355120098
53	0.8055555556	0.333729581
54	0.8079207921	0.3333768717
55	0.8087649402	0.3280904853
56	0.8103792415	0.3257928364
57	0.812	0.3203487699
58	0.8167330677	0.3188054276
59	0.8300395257	0.3152441975
60	0.8300395257	0.3143841349
61	0.83234714	0.3108450907
62	0.83234714	0.3098963278
63	0.83234714	0.3080758113
64	0.8339920949	0.3013336684
65	0.8385826772	0.3001005136
66	0.8385826772	0.2987597463
67	0.8385826772	0.2971928053
68	0.8464566929	0.2935064735
69	0.8582524272	0.2893123707
70	0.8648648649	0.2841729736
71	0.8626692456	0.2822713764
72	0.8692307692	0.2747298491
73	0.8692307692	0.273258931
74	0.8692307692	0.2713645676
75	0.8692307692	0.2706493989
76	0.8790786948	0.2674209227
77	0.8790786948	0.2660318767
78	0.8790786948	0.2657032082
79	0.8790786948	0.2646618019
80	0.8807692308	0.2619338369
81	0.8875968992	0.2592876057
82	0.8875968992	0.2585870023
83	0.8897485493	0.2575905413
84	0.8914728682	0.255751695
85	0.8875968992	0.2541384222
86	0.8858800774	0.2531546833
87	0.8875968992	0.2524741673
88	0.8875968992	0.2492980055
89	0.8875968992	0.2466845177
90	0.8875968992	0.2435966061
91	0.8893203883	0.241239719
92	0.8914728682	0.2381592729
93	0.8932038835	0.2366943059
94	0.8966861598	0.2303279927
95	0.9005847953	0.2281239491
96	0.9009708738	0.2263849212
97	0.9052224371	0.2248130936
98	0.9052224371	0.2245828222
99	0.9052224371	0.2208622579
100	0.9052224371	0.2191939845
101	0.9052224371	0.2178267267
102	0.9052224371	0.2146747159
103	0.9052224371	0.2140154268
104	0.9052224371	0.2115567208
105	0.9073359073	0.2111843358
106	0.9052224371	0.2106823321
107	0.9073359073	0.2099434896
108	0.9073359073	0.2084373838
109	0.9055876686	0.2079608199
110	0.9052224371	0.2074963213
111	0.9073359073	0.2054074026
112	0.905950096	0.203712134
113	0.9042145594	0.2014556779
114	0.905950096	0.2001267984
115	0.908045977	0.1976727737
116	0.9097888676	0.1962500783
117	0.9097888676	0.1955665626
118	0.9097888676	0.1948540317
119	0.9171483622	0.1928521644
