iter	F1	Logloss
0	0.7114503817	0.6323196902
1	0.7230769231	0.5915257268
2	0.7267267267	0.5615164239
3	0.7230769231	0.5313125054
4	0.7261538462	0.5161432038
5	0.7233384853	0.5148016366
6	0.7339449541	0.4948985874
7	0.7283950617	0.4897987608
8	0.7332242226	0.4885011154
9	0.7311827957	0.4742017225
10	0.726993865	0.4636608736
11	0.7347560976	0.4530481562
12	0.7323943662	0.4503865893
13	0.7460815047	0.4483948746
14	0.7442572741	0.4429759635
15	0.7454545455	0.4410087961
16	0.74617737	0.4389735215
17	0.74617737	0.4365860419
18	0.7431192661	0.4350920461
19	0.7450381679	0.4344002653
20	0.745398773	0.4336437361
21	0.7511591963	0.4295649213
22	0.75	0.4277745519
23	0.7511591963	0.4240675324
24	0.7542503864	0.4217160166
25	0.7569230769	0.4203703157
26	0.7550077042	0.4197947039
27	0.7550077042	0.4197840225
28	0.7534456355	0.4171159573
29	0.7488584475	0.4161743189
30	0.7511450382	0.4118693957
31	0.7595712098	0.4098023115
32	0.756097561	0.4086803728
33	0.7511450382	0.4076821277
34	0.7549467275	0.4049768865
35	0.7640791476	0.4037643183
36	0.7659574468	0.4033246766
37	0.7659574468	0.4033246766
38	0.762195122	0.4027548483
39	0.762195122	0.4027548482
40	0.7682926829	0.4022742321
41	0.7645259939	0.3999458018
42	0.7720364742	0.3978398246
43	0.7708649469	0.3965842998
44	0.7830045524	0.3937139983
45	0.779969651	0.3930456157
46	0.7841945289	0.3894515667
47	0.7848484848	0.3885165024
48	0.7848484848	0.3885164979
49	0.7914110429	0.3856325533
50	0.7914110429	0.3832067896
51	0.7969465649	0.3812824917
52	0.7963246554	0.3799329855
53	0.8024502297	0.3773933009
54	0.7993874426	0.376597816
55	0.8024316109	0.3746302447
56	0.8024316109	0.3729925685
57	0.8060606061	0.3710134813
58	0.810892587	0.3675657318
59	0.8096676737	0.3670354359
60	0.8096676737	0.3666393963
61	0.810892587	0.3641248744
62	0.8126888218	0.3617418399
63	0.8126888218	0.3613979633
64	0.8139183056	0.3602418983
65	0.8169440242	0.3585477317
66	0.8194233687	0.3552560078
67	0.8181818182	0.3532173756
68	0.8212121212	0.3504262756
69	0.820668693	0.3475104132
70	0.8242424242	0.3453055128
71	0.8194233687	0.3438421182
72	0.8212121212	0.3433650965
73	0.8212121212	0.3429471213
74	0.8287461774	0.3389089623
75	0.8264208909	0.3373267795
76	0.8264208909	0.3356441924
77	0.8294930876	0.3338038362
78	0.8300153139	0.333135398
79	0.8300153139	0.3324012965
80	0.8300153139	0.3315195105
81	0.8294930876	0.3288026776
82	0.8312883436	0.3276147018
83	0.8354037267	0.325558939
84	0.8408037094	0.3237525341
85	0.8425925926	0.3230139993
86	0.8412942989	0.3215292114
87	0.8448540707	0.320585095
88	0.8435582822	0.3203014439
89	0.8448540707	0.3182725509
90	0.8474576271	0.3175499702
91	0.8461538462	0.3167989941
92	0.8461538462	0.3157146411
93	0.8505392912	0.3131894843
94	0.8487654321	0.3097908353
95	0.8505392912	0.3074253355
96	0.8523076923	0.3066604249
97	0.8536209553	0.3056749556
98	0.8575803982	0.3030641547
99	0.8558282209	0.3020395446
100	0.8558282209	0.3016661267
101	0.8571428571	0.2999957546
102	0.8588957055	0.2991900817
103	0.8588957055	0.2973418151
104	0.8606431853	0.2947171149
105	0.8650306748	0.2935463733
106	0.8650306748	0.291890739
107	0.866359447	0.2902346979
108	0.866359447	0.2887912544
109	0.8628659476	0.2877566427
110	0.8633540373	0.2862744947
111	0.8633540373	0.2850873213
112	0.8655332303	0.2839466956
113	0.866359447	0.2818828138
114	0.8646153846	0.2816087128
115	0.8707692308	0.2809364863
116	0.8707692308	0.2805533021
117	0.866359447	0.2799940432
118	0.8646153846	0.2787272216
119	0.8646153846	0.278084281
