iter	Passed	Remaining
0	14	1684
1	25	1477
2	36	1415
3	50	1466
4	68	1572
5	71	1365
6	87	1411
7	96	1344
8	105	1302
9	119	1314
10	130	1290
11	145	1305
12	158	1300
13	171	1295
14	181	1271
15	187	1221
16	202	1225
17	217	1233
18	232	1234
19	239	1196
20	253	1193
21	270	1204
22	284	1199
23	298	1195
24	314	1193
25	325	1175
26	335	1154
27	342	1125
28	355	1116
29	363	1091
30	378	1087
31	392	1080
32	407	1073
33	424	1073
34	439	1068
35	452	1056
36	467	1048
37	471	1016
38	485	1008
39	490	980
40	503	970
41	518	962
42	533	954
43	547	946
44	562	937
45	577	929
46	592	920
47	606	909
48	610	884
49	625	875
50	639	864
51	652	853
52	667	843
53	682	834
54	696	823
55	710	812
56	724	801
57	738	789
58	752	778
59	767	767
60	780	755
61	796	744
62	810	733
63	824	721
64	838	709
65	853	698
66	870	688
67	887	678
68	902	667
69	916	654
70	930	642
71	944	629
72	959	617
73	974	605
74	991	595
75	1006	582
76	1025	572
77	1043	562
78	1058	549
79	1076	538
80	1091	525
81	1106	512
82	1121	499
83	1136	487
84	1150	473
85	1165	460
86	1179	447
87	1193	433
88	1208	421
89	1223	407
90	1237	394
91	1253	381
92	1267	367
93	1282	354
94	1297	341
95	1311	327
96	1327	314
97	1341	301
98	1356	287
99	1371	274
100	1385	260
101	1401	247
102	1416	233
103	1432	220
104	1450	207
105	1467	193
106	1483	180
107	1498	166
108	1513	152
109	1528	138
110	1543	125
111	1557	111
112	1571	97
113	1586	83
114	1601	69
115	1619	55
116	1634	41
117	1649	27
118	1664	13
119	1680	0
